date_analyzed,plate,sample,date,day,nitrite
17-Aug-18,1,RP22T30SCN_1,27-Jul,3,-0.01969665
17-Aug-18,1,RP22T30SCN_2,27-Jul,3,0.035016266
17-Aug-18,1,RP22T30SCN_3,27-Jul,3,0.170704297
17-Aug-18,1,RP22T30SEN_1,27-Jul,3,0.382990409
17-Aug-18,1,RP22T30SEN_2,27-Jul,3,0.32390046
17-Aug-18,1,RP22T30SEN_3,27-Jul,3,0.369859309
17-Aug-18,1,RP22T20SCN_1,27-Jul,3,0.194777979
17-Aug-18,1,RP22T20SCN_2,27-Jul,3,0.14225358
17-Aug-18,1,RP22T20SCN_3,27-Jul,3,0.032827749
17-Aug-18,1,RP22T20SEN_1,27-Jul,3,0.321711943
17-Aug-18,1,RP22T20SEN_2,27-Jul,3,0.129122481
17-Aug-18,1,RP22T20SEN_3,27-Jul,3,0.102860281
17-Aug-18,1,RP22T10SCN_1,27-Jul,3,0.65436647
17-Aug-18,1,RP22T10SCN_2,27-Jul,3,0.645612403
17-Aug-18,1,RP22T10SCN_3,27-Jul,3,5.329037974
17-Aug-18,1,RP22T10SEN_1,27-Jul,3,0.312957877
17-Aug-18,1,RP22T10SEN_2,27-Jul,3,4.120976799
17-Aug-18,1,RP22T10SEN_3,27-Jul,3,0.146630614
17-Aug-18,2,RP24T30SCN_1,27-Jul,3,0.463420882
17-Aug-18,2,RP24T30SCN_2,27-Jul,3,0.421887879
17-Aug-18,2,RP24T30SCN_3,27-Jul,3,0.284173182
17-Aug-18,2,RP24T30SEN_1,27-Jul,3,0.292916973
17-Aug-18,2,RP24T30SEN_2,27-Jul,3,0.126784958
17-Aug-18,2,RP24T30SEN_3,27-Jul,3,0.583647998
17-Aug-18,2,RP24T20SCN_1,27-Jul,3,0.782569225
17-Aug-18,2,RP24T20SCN_2,27-Jul,3,0.714804851
17-Aug-18,2,RP24T20SCN_3,27-Jul,3,0.896238498
17-Aug-18,2,RP24T20SEN_1,27-Jul,3,0.459048987
17-Aug-18,2,RP24T20SEN_2,27-Jul,3,0.660156162
17-Aug-18,2,RP24T20SEN_3,27-Jul,3,0.29510292
17-Aug-18,2,RP24T10SCN_1,27-Jul,3,1.503931919
17-Aug-18,2,RP24T10SCN_2,27-Jul,3,1.5214195
17-Aug-18,2,RP24T10SCN_3,27-Jul,3,0.682015638
17-Aug-18,2,RP24T10SEN_1,27-Jul,3,2.647182492
17-Aug-18,2,RP24T10SEN_2,27-Jul,3,2.207807033
17-Aug-18,2,RP24T10SEN_3,27-Jul,3,2.100695603
17-Aug-18,3,RP26T30SCN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T30SCN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T30SCN_3,27-Jul,3,21655.5
17-Aug-18,3,RP26T30SEN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T30SEN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T30SEN_3,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SCN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SCN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SCN_3,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SEN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SEN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T20SEN_3,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SCN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SCN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SCN_3,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SEN_1,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SEN_2,27-Jul,3,21655.5
17-Aug-18,3,RP26T10SEN_3,27-Jul,3,21655.5
17-Aug-18,4,RP28T30SCN_1,27-Jul,3,1.179823579
17-Aug-18,4,RP28T30SCN_2,27-Jul,3,1.649505727
17-Aug-18,4,RP28T30SCN_3,27-Jul,3,0.348328866
17-Aug-18,4,RP28T30SEN_1,27-Jul,3,0.671937619
17-Aug-18,4,RP28T30SEN_2,27-Jul,3,2.440549345
17-Aug-18,4,RP28T30SEN_3,27-Jul,3,1.184318145
17-Aug-18,4,RP28T20SCN_1,27-Jul,3,0.50788596
17-Aug-18,4,RP28T20SCN_2,27-Jul,3,0.458445733
17-Aug-18,4,RP28T20SCN_3,27-Jul,3,0.968578976
17-Aug-18,4,RP28T20SEN_1,27-Jul,3,1.029255617
17-Aug-18,4,RP28T20SEN_2,27-Jul,3,2.463022175
17-Aug-18,4,RP28T20SEN_3,27-Jul,3,0.595529997
17-Aug-18,4,RP28T10SCN_1,27-Jul,3,3.114734247
17-Aug-18,4,RP28T10SCN_2,27-Jul,3,0.885429505
17-Aug-18,4,RP28T10SCN_3,27-Jul,3,0.368554413
17-Aug-18,4,RP28T10SEN_1,27-Jul,3,1.123641503
17-Aug-18,4,RP28T10SEN_2,27-Jul,3,0.719130562
17-Aug-18,4,RP28T10SEN_3,27-Jul,3,0.703399581
17-Aug-18,1,10SCN_1,24-Jul,0,-0.085352148
17-Aug-18,1,10SEN_1,24-Jul,0,-0.087540665
17-Aug-18,1,20SCN_1,24-Jul,0,0.059089949
17-Aug-18,1,20SEN_1,24-Jul,0,-0.002188517
17-Aug-18,1,30SCN_1,24-Jul,0,0.004377033
17-Aug-18,1,30SEN_1,24-Jul,0,0.048147366
17-Aug-18,2,10SCN_1,27-Jul,3,0.056834636
17-Aug-18,2,10SEN_1,27-Jul,3,0.054648689
17-Aug-18,2,20SCN_1,27-Jul,3,0.203293123
17-Aug-18,2,20SEN_1,27-Jul,3,0.220780703
17-Aug-18,2,30SCN_1,27-Jul,3,0.454677092
17-Aug-18,2,30SEN_1,27-Jul,3,0.251383969
30-Aug-18,1,RP22T30SCN_1,30-Jul,6,0.769480232
30-Aug-18,1,RP22T30SCN_2,30-Jul,6,0.380368069
30-Aug-18,1,RP22T30SCN_3,30-Jul,6,0.456878888
30-Aug-18,1,RP22T30SEN_1,30-Jul,6,0.430646607
30-Aug-18,1,RP22T30SEN_2,30-Jul,6,0.489669238
30-Aug-18,1,RP22T30SEN_3,30-Jul,6,0.84599105
30-Aug-18,1,RP22T20SCN_1,30-Jul,6,0.922501869
30-Aug-18,1,RP22T20SCN_2,30-Jul,6,0.671109179
30-Aug-18,1,RP22T20SCN_3,30-Jul,6,0.544319823
30-Aug-18,1,RP22T20SEN_1,30-Jul,6,0.767294208
30-Aug-18,1,RP22T20SEN_2,30-Jul,6,0.811014676
30-Aug-18,1,RP22T20SEN_3,30-Jul,6,0.520273566
30-Aug-18,1,RP22T10SCN_1,30-Jul,6,0.863479237
30-Aug-18,1,RP22T10SCN_2,30-Jul,6,0.435018654
30-Aug-18,1,RP22T10SCN_3,30-Jul,6,0.627388712
30-Aug-18,1,RP22T10SEN_1,30-Jul,6,0.590226314
30-Aug-18,1,RP22T10SEN_2,30-Jul,6,0.616458595
30-Aug-18,1,RP22T10SEN_3,30-Jul,6,0.649248946
30-Aug-18,1,30SCN_1,30-Jul,6,0.382554092
30-Aug-18,1,30SCN_2,30-Jul,6,0.56836608
30-Aug-18,1,20SCN_1,30-Jul,6,0.091812982
30-Aug-18,1,20SEN_2,30-Jul,6,0.118045263
30-Aug-18,1,10SCN_1,30-Jul,6,0.177067894
30-Aug-18,1,10SCN_2,30-Jul,6,0.052464561
30-Aug-18,1,30SEN_1,30-Jul,6,0.314787368
30-Aug-18,1,30SEN_2,30-Jul,6,0.170509824
30-Aug-18,1,20SEN_1,30-Jul,6,0.172695847
30-Aug-18,1,20SCN_2,30-Jul,6,0.004372047
30-Aug-18,1,10SEN_1,30-Jul,6,0.059022631
30-Aug-18,1,10SEN_2,30-Jul,6,0.168323801
30-Aug-18,2,RP24T30SCN_1,30-Jul,6,1.079895552
30-Aug-18,2,RP24T30SCN_2,30-Jul,6,0.607714501
30-Aug-18,2,RP24T30SCN_3,30-Jul,6,0.776038302
30-Aug-18,2,RP24T30SEN_1,30-Jul,6,0.738875904
30-Aug-18,2,RP24T30SEN_2,30-Jul,6,0.601156431
30-Aug-18,2,RP24T30SEN_3,30-Jul,6,0.662365086
30-Aug-18,2,RP24T20SCN_1,30-Jul,6,0.762922162
30-Aug-18,2,RP24T20SCN_2,30-Jul,6,1.27226561
30-Aug-18,2,RP24T20SCN_3,30-Jul,6,1.648261633
30-Aug-18,2,RP24T20SEN_1,30-Jul,6,0.920315845
30-Aug-18,2,RP24T20SEN_2,30-Jul,6,2.205697596
30-Aug-18,2,RP24T20SEN_3,30-Jul,6,1.296311868
30-Aug-18,2,RP24T10SCN_1,30-Jul,6,0.966222336
30-Aug-18,2,RP24T10SCN_2,30-Jul,6,0.900641635
30-Aug-18,2,RP24T10SCN_3,30-Jul,6,1.270079587
30-Aug-18,2,RP24T10SEN_1,30-Jul,6,0.640504852
30-Aug-18,2,RP24T10SEN_2,30-Jul,6,1.318172102
30-Aug-18,2,RP24T10SEN_3,30-Jul,6,0.996826664
30-Aug-18,2,RP28T30SCN_1,30-Jul,6,1.525844323
30-Aug-18,2,RP28T30SCN_2,30-Jul,6,1.525844323
30-Aug-18,2,RP28T30SCN_3,30-Jul,6,2.314998765
30-Aug-18,2,RP28T30SEN_1,30-Jul,6,0.966222336
30-Aug-18,2,RP28T30SEN_2,30-Jul,6,0.854735144
30-Aug-18,2,RP28T30SEN_3,30-Jul,6,2.146674965
30-Aug-18,2,RP28T20SCN_1,30-Jul,6,0.898455611
30-Aug-18,2,RP28T20SCN_2,30-Jul,6,0.714829647
30-Aug-18,2,RP28T20SCN_3,30-Jul,6,4.293349929
30-Aug-18,2,RP28T20SEN_1,30-Jul,6,2.91834122
30-Aug-18,2,RP28T20SEN_2,30-Jul,6,0.279810993
30-Aug-18,2,RP28T20SEN_3,30-Jul,6,0.262322806
30-Aug-18,3,RP26T30SCN_1,30-Jul,6,
30-Aug-18,3,RP26T30SCN_2,30-Jul,6,
30-Aug-18,3,RP26T30SCN_3,30-Jul,6,
30-Aug-18,3,RP26T30SEN_1,30-Jul,6,
30-Aug-18,3,RP26T30SEN_2,30-Jul,6,
30-Aug-18,3,RP26T30SEN_3,30-Jul,6,
30-Aug-18,3,RP26T20SCN_1,30-Jul,6,
30-Aug-18,3,RP26T20SCN_2,30-Jul,6,
30-Aug-18,3,RP26T20SCN_3,30-Jul,6,
30-Aug-18,3,RP26T20SEN_1,30-Jul,6,
30-Aug-18,3,RP26T20SEN_2,30-Jul,6,
30-Aug-18,3,RP26T20SEN_3,30-Jul,6,
30-Aug-18,3,RP26T10SCN_1,30-Jul,6,
30-Aug-18,3,RP26T10SCN_2,30-Jul,6,
30-Aug-18,3,RP26T10SCN_3,30-Jul,6,
30-Aug-18,3,RP26T10SEN_1,30-Jul,6,
30-Aug-18,3,RP26T10SEN_2,30-Jul,6,
30-Aug-18,3,RP26T10SEN_3,30-Jul,6,
30-Aug-18,3,RP28T10SCN_1,30-Jul,6,
30-Aug-18,3,RP28T10SCN_2,30-Jul,6,
30-Aug-18,3,RP28T10SCN_3,30-Jul,6,
30-Aug-18,3,RP28T10SEN_1,30-Jul,6,
30-Aug-18,3,RP28T10SEN_2,30-Jul,6,
30-Aug-18,3,RP28T10SEN_3,30-Jul,6,
30-Aug-18,4,RP22T30SCN_1,01-Aug,8,
30-Aug-18,4,RP22T30SCN_2,01-Aug,8,
30-Aug-18,4,RP22T30SCN_3,01-Aug,8,
30-Aug-18,4,RP28T30SEN_1,01-Aug,8,
30-Aug-18,4,RP28T30SEN_2,01-Aug,8,
30-Aug-18,4,RP28T30SEN_3,01-Aug,8,
30-Aug-18,4,RP28T20SCN_1,01-Aug,8,
30-Aug-18,4,RP28T20SCN_2,01-Aug,8,
30-Aug-18,4,RP28T20SCN_3,01-Aug,8,
30-Aug-18,4,RP28T20SEN_1,01-Aug,8,
30-Aug-18,4,RP28T20SEN_2,01-Aug,8,
30-Aug-18,4,RP28T20SEN_3,01-Aug,8,
30-Aug-18,4,RP28T10SCN_1,01-Aug,8,
30-Aug-18,4,RP28T10SCN_2,01-Aug,8,
30-Aug-18,4,RP28T10SCN_3,01-Aug,8,
30-Aug-18,4,RP28T10SEN_1,01-Aug,8,
30-Aug-18,4,RP28T10SEN_2,01-Aug,8,
30-Aug-18,4,RP28T10SEN_3,01-Aug,8,
30-Aug-18,4,RP28T30SCN_1,01-Aug,8,
30-Aug-18,4,RP28T30SCN_2,01-Aug,8,
30-Aug-18,4,RP28T30SCN_3,01-Aug,8,
30-Aug-18,4,RP28T30SEN_1,01-Aug,8,
30-Aug-18,4,RP28T30SEN_2,01-Aug,8,
30-Aug-18,4,RP28T30SEN_3,01-Aug,8,
30-Aug-18,5,RP24T30SCN_1,01-Aug,8,
30-Aug-18,5,RP24T30SCN_2,01-Aug,8,
30-Aug-18,5,RP24T30SCN_3,01-Aug,8,
30-Aug-18,5,RP26T30SEN_1,01-Aug,8,
30-Aug-18,5,RP26T30SEN_2,01-Aug,8,
30-Aug-18,5,RP26T30SEN_3,01-Aug,8,
30-Aug-18,5,RP26T20SCN_1,01-Aug,8,
30-Aug-18,5,RP26T20SCN_2,01-Aug,8,
30-Aug-18,5,RP26T20SCN_3,01-Aug,8,
30-Aug-18,5,RP26T20SEN_1,01-Aug,8,
30-Aug-18,5,RP26T20SEN_2,01-Aug,8,
30-Aug-18,5,RP26T20SEN_3,01-Aug,8,
30-Aug-18,5,RP26T10SCN_1,01-Aug,8,
30-Aug-18,5,RP26T10SCN_2,01-Aug,8,
30-Aug-18,5,RP26T10SCN_3,01-Aug,8,
30-Aug-18,5,RP24T10SEN_1,01-Aug,8,
30-Aug-18,5,RP24T10SEN_2,01-Aug,8,
30-Aug-18,5,RP24T10SEN_3,01-Aug,8,
30-Aug-18,5,RP22T20SCN_1,01-Aug,8,
30-Aug-18,5,RP22T20SCN_2,01-Aug,8,
30-Aug-18,5,RP22T20SCN_3,01-Aug,8,
30-Aug-18,5,RP22T20SEN_1,01-Aug,8,
30-Aug-18,5,RP22T20SEN_2,01-Aug,8,
30-Aug-18,5,RP22T20SEN_3,01-Aug,8,
30-Aug-18,6,RP26T30SCN_1,01-Aug,8,
30-Aug-18,6,RP26T30SCN_2,01-Aug,8,
30-Aug-18,6,RP26T30SCN_3,01-Aug,8,
30-Aug-18,6,RP24T30SEN_1,01-Aug,8,
30-Aug-18,6,RP24T30SEN_2,01-Aug,8,
30-Aug-18,6,RP24T30SEN_3,01-Aug,8,
30-Aug-18,6,RP24T20SCN_1,01-Aug,8,
30-Aug-18,6,RP24T20SCN_2,01-Aug,8,
30-Aug-18,6,RP24T20SCN_3,01-Aug,8,
30-Aug-18,6,RP24T20SEN_1,01-Aug,8,
30-Aug-18,6,RP24T20SEN_2,01-Aug,8,
30-Aug-18,6,RP24T20SEN_3,01-Aug,8,
30-Aug-18,6,RP24T10SCN_1,01-Aug,8,
30-Aug-18,6,RP24T10SCN_2,01-Aug,8,
30-Aug-18,6,RP24T10SCN_3,01-Aug,8,
30-Aug-18,6,RP24T10SEN_1,01-Aug,8,
30-Aug-18,6,RP24T10SEN_2,01-Aug,8,
30-Aug-18,6,RP24T10SEN_3,01-Aug,8,
30-Aug-18,6,RP22T10SCN_1,01-Aug,8,
30-Aug-18,6,RP22T10SCN_2,01-Aug,8,
30-Aug-18,6,RP22T10SCN_3,01-Aug,8,
30-Aug-18,6,RP22T10SEN_1,01-Aug,8,
30-Aug-18,6,RP22T10SEN_2,01-Aug,8,
30-Aug-18,6,RP22T10SEN_3,01-Aug,8,
